シーズン,話,国,店名,ハングル店名,エリア,紹介料理,看板メニュー,営業時間,定休日,口コミ,住所,韓国住所,Googleマップ,Naverマップ
S2,23,韓国,奉天洞 ヘテ食堂,해태식당,ソウル・冠岳区,生テナガダコ料理,"ヨンポタン定食（連浦湯）25,000ウォン / ナクチポックム（テナガダコ炒め）25,000ウォン",11:00〜22:00（※要確認）,情報なし（要確認）,Netflix『料理人ゴロー』や成始璟も訪れた人気のテナガダコ専門店。新鮮でぷりぷりのナクチ炒め、ミナリをのせて辛く炒めるのが特徴。連浦湯はテーブルで食べやすく切り分け、頭は別途茹でて提供。全羅道スタイルの惣菜も好評。やや高めだが値打ちありとの評価。,ソウル冠岳区奉天洞883-8,서울특별시 관악구 청룡1길 33,https://www.google.com/maps/search/?api=1&query=%E5%A5%89%E5%A4%A9%E6%B4%9E%20%E3%83%98%E3%83%86%E9%A3%9F%E5%A0%82%20%E3%82%BD%E3%82%A6%E3%83%AB%E5%86%A0%E5%B2%B3%E5%8C%BA%E5%A5%89%E5%A4%A9%E6%B4%9E883-8,https://map.naver.com/p/search/%ED%95%B4%ED%83%9C%EC%8B%9D%EB%8B%B9
S2,24,日本,ヨシヅカウナギ店 ほか（小倉のうなぎ）,,福岡・小倉,うなぎ料理,うなぎ蒲焼 / うな重・うな丼 / せいろ蒸し（地域により）,10:00〜21:00（案内開始10:30／L.O.20:15）。※小倉エリアの個別店舗は要確認,（吉塚うなぎ屋本店の場合）第2・4火曜＋毎週水曜、お盆・正月休み。※個別店舗は要確認,番組では小倉のうなぎ店（吉塚うなぎ屋ほか）を紹介。吉塚うなぎ屋は創業明治6年の老舗で、独自の焼き技『こなし』により外はカリッと中はふっくらの蒲焼きが名物。食べログ等で高評価。予約は電話のみ。※小倉の具体的店舗の営業情報は要確認。,福岡県北九州市小倉,,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%82%B7%E3%83%85%E3%82%AB%E3%82%A6%E3%83%8A%E3%82%AE%E5%BA%97%20%E3%81%BB%E3%81%8B%EF%BC%88%E5%B0%8F%E5%80%89%E3%81%AE%E3%81%86%E3%81%AA%E3%81%8E%EF%BC%89%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89,
S2,25,韓国,ヨンチョン旧式チキン,영천통닭,京畿道・議政府市,昔ながらの鶏料理,"ヨンチョン通鶏（昔ながらの丸鶏揚げ）12,000ウォン / ヤンニョム通鶏 16,000ウォン / 鶏一匹セット 20,000ウォン / コルベンイソミョン（つぶ貝そうめん和え）20,000ウォン",12:00〜24:00（※要確認）,情報なし（要確認）,議政府の昔ながらの『옛날통닭（昔通鶏）』店、ヨンチョン・カマソッ（釜）通鶏。釜で直接揚げる様子が見られ、揚げたてを店主が手で割いて提供。『親切な店主』『リーズナブル』とブログ口コミで好評。,京畿道議政府市太平路89番ギル8,경기도 의정부시 태평로89번길 8,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%B3%E3%83%81%E3%83%A7%E3%83%B3%E6%97%A7%E5%BC%8F%E3%83%81%E3%82%AD%E3%83%B3%20%E4%BA%AC%E7%95%BF%E9%81%93%E8%AD%B0%E6%94%BF%E5%BA%9C%E5%B8%82%E5%A4%AA%E5%B9%B3%E8%B7%AF89%E7%95%AA%E3%82%AE%E3%83%AB8,https://map.naver.com/p/search/%EC%98%81%EC%B2%9C%ED%86%B5%EB%8B%AD
S3,1,日本,出町ふたば／鍵善良房／ごんべえ,,京都市,豆餅・葛切り・うどんそば,"出町ふたば 名代豆餅 1個220円（2個入560円・5個入1,400円） / 鍵善良房 くずきり 1,200円 / 祇園権兵衛 きつねうどん・けいらん（玉子とじ）・親子丼",出町ふたば 8:30〜17:30／鍵善良房 四条本店 菓子9:30〜18:00・喫茶10:00〜18:00（L.O.17:30）／祇園権兵衛（ごんべえ）うどん・そば店（時間は要確認）,出町ふたば：火曜＋第4水曜（祝日の場合翌日）／鍵善良房：月曜（祝日の場合翌日）／権兵衛：要確認,京都の名店3軒。出町ふたば（創業1899年）の名代豆餅は平日も行列の絶えない人気和菓子。鍵善良房（享保年間創業・300年以上）のくずきりは吉野本葛のみ使用の絶品。祇園権兵衛は関西風の柔らかい麺が評判のそば・うどん・丼の老舗。,京都府京都市（出町柳・祇園ほか）,,https://www.google.com/maps/search/?api=1&query=%E5%87%BA%E7%94%BA%E3%81%B5%E3%81%9F%E3%81%B0%EF%BC%8F%E9%8D%B5%E5%96%84%E8%89%AF%E6%88%BF%EF%BC%8F%E3%81%94%E3%82%93%E3%81%B9%E3%81%88%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%EF%BC%88%E5%87%BA%E7%94%BA%E6%9F%B3%E3%83%BB%E7%A5%87%E5%9C%92%E3%81%BB%E3%81%8B%EF%BC%89,
S3,2,韓国,トクバンアッカン／赤いトッポッキおばあさんの店,빨간떡볶이,釜山,カレトク・トッククトク・トッポッキ,"トッポッキ（1人前 約3,500ウォン） / オムク（おでん） / スンデ",08:00～18:30 ※要確認（材料がなくなり次第終了）,水曜・日曜,다이닝코드 4.2／『生活の達人（은둔식달）』『고독한 미식가』で紹介された海雲台の名店。唐辛子粉ベースの甘辛ソースと太いカレトクが特徴。スンデも美味と評判。週末は行列・駐車場なし。,釜山広域市,부산광역시 해운대구 우동1로20번가길 4,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%82%AF%E3%83%90%E3%83%B3%E3%82%A2%E3%83%83%E3%82%AB%E3%83%B3%EF%BC%8F%E8%B5%A4%E3%81%84%E3%83%88%E3%83%83%E3%83%9D%E3%83%83%E3%82%AD%E3%81%8A%E3%81%B0%E3%81%82%E3%81%95%E3%82%93%E3%81%AE%E5%BA%97%20%E9%87%9C%E5%B1%B1%E5%BA%83%E5%9F%9F%E5%B8%82,https://map.naver.com/p/search/%EB%B9%A8%EA%B0%84%EB%96%A1%EB%B3%B6%EC%9D%B4
S3,3,日本,ラ・ヴォワチュール（La Voiture）,,京都・東山区,タルトタタン,"タルトタタン（¥1,000～1,999台）",11:30～18:00（L.O.17:00）※不定休あり、訪問前に公式サイト確認推奨,月曜（不定休あり）,食べログ3.71（754件）。スイーツWEST百名店2023選出。1971年創業、祖母から受け継ぐタルトタタン専門の老舗喫茶。4時間以上かけたキャラメリゼが評判。,京都市東山区元吉町61,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%B4%E3%82%A9%E3%83%AF%E3%83%81%E3%83%A5%E3%83%BC%E3%83%AB%EF%BC%88La%20Voiture%EF%BC%89%20%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E5%85%83%E5%90%89%E7%94%BA61,
S3,4,韓国,ファングムコンバッ（黄金豆畑）,황금콩밭,ソウル・麻浦区,豆腐料理各種,"生豆腐（생두부）16,000ウォン / 豆腐ポッサム（두부보쌈）48,000ウォン / オモガリ青国醤（두부젓국）30,000ウォン / 豆腐チャグリ（두부짜글이）12,000ウォン",月～金 11:30～21:30（ブレイクタイム15:00～17:00）／土・日 11:00～21:00,年中無休,다이닝코드 3.9（45人）／ミシュランガイド ビブグルマン選出（複数年）。毎朝国産大豆で手作りする豆腐の食感と香ばしさ、あっさりした出汁が高評価。,ソウル特別市麻浦区阿峴洞424-11,서울특별시 마포구 마포대로16길 9,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%82%A1%E3%83%B3%E3%82%B0%E3%83%A0%E3%82%B3%E3%83%B3%E3%83%90%E3%83%83%EF%BC%88%E9%BB%84%E9%87%91%E8%B1%86%E7%95%91%EF%BC%89%20%E3%82%BD%E3%82%A6%E3%83%AB%E7%89%B9%E5%88%A5%E5%B8%82%E9%BA%BB%E6%B5%A6%E5%8C%BA%E9%98%BF%E5%B3%B4%E6%B4%9E424-11,https://map.naver.com/p/search/%ED%99%A9%EA%B8%88%EC%BD%A9%EB%B0%AD
S3,5,日本,りょうせん,,京都・中京区,鯖の煮付けなど居酒屋料理,"鯖煮（名物・価格情報なし） / ディナーお任せコース 6,500円（全7品） / ランチ定食 1,000円台～",月 18:00～22:00／火～金 11:30～13:30・18:00～22:00／土・祝 17:00～22:30,日曜（ディナーは第1・第3月曜も休）,食べログ3.44（153件）。SNS・メニュー撮影NGで来店時の期待感を大切にする店。料理の質が高く日本酒・ワインの選定も好評。俳優・松重豊の御用達としても知られる。,京都市中京区蛸薬師町293-3,,https://www.google.com/maps/search/?api=1&query=%E3%82%8A%E3%82%87%E3%81%86%E3%81%9B%E3%82%93%20%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E8%9B%B8%E8%96%AC%E5%B8%AB%E7%94%BA293-3,
S3,6,韓国,ソムジン川 シジミ汁 釜山機張本店,섬진강 재첩국 (부산기장본점),釜山・機張郡,シジミ汁,"シジミ汁（재첩국）10,000ウォン / シジミ盛り合わせ1人定食（재첩모듬 1인정식）17,000ウォン / シジミ濃縮汁（재첩진국）16,000ウォン / シジミ定食2人前～ 34,000ウォン",07:00～20:00（ブレイクタイム15:00～16:00、L.O.19:40）,月曜,情報なし（具体的な評価スコアは確認できず）。全食材を国産のみ使用。シジミニラチヂミ等のサイドも提供する機張の재첩国専門店。,釜山機張郡機張邑茶城南路51番ギル28,부산광역시 기장군 기장읍 차성남로51번길 28,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%A0%E3%82%B8%E3%83%B3%E5%B7%9D%20%E3%82%B7%E3%82%B8%E3%83%9F%E6%B1%81%20%E9%87%9C%E5%B1%B1%E6%A9%9F%E5%BC%B5%E6%9C%AC%E5%BA%97%20%E9%87%9C%E5%B1%B1%E6%A9%9F%E5%BC%B5%E9%83%A1%E6%A9%9F%E5%BC%B5%E9%82%91%E8%8C%B6%E5%9F%8E%E5%8D%97%E8%B7%AF51%E7%95%AA%E3%82%AE%E3%83%AB28,https://map.naver.com/p/search/%EC%84%AC%EC%A7%84%EA%B0%95%20%EC%9E%AC%EC%B2%A9%EA%B5%AD%20%28%EB%B6%80%EC%82%B0%EA%B8%B0%EC%9E%A5%EB%B3%B8%EC%A0%90%29
S3,7,日本,Lamb House Kekere（ラムハウス ケケレ）,,北海道・札幌,ジンギスカン,"ラム刺身（ラム刺）1,290円 / 生ラムジンギスカン（アイスランド産仔羊） / 2時間飲み放題プラン 2,750円",18:30～22:00（L.O.21:30）※完全予約制（電話のみ・最大1ヶ月前から）,不定休,食べログ3.64（310件）。『ジンギスカンの正解』『羊料理の洋食店』と高評価。生後6ヶ月以内のアイスランド産仔羊を手切りで提供する新鮮さが特徴（臭みを感じるとの声も一部あり）。,北海道札幌市中央区大通西16-1-11,,https://www.google.com/maps/search/?api=1&query=Lamb%20House%20Kekere%EF%BC%88%E3%83%A9%E3%83%A0%E3%83%8F%E3%82%A6%E3%82%B9%20%E3%82%B1%E3%82%B1%E3%83%AC%EF%BC%89%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E9%80%9A%E8%A5%BF16-1-11,
S3,8,韓国,スンハチプ,승하집,釜山・東萊区,茹で豚・石ダコ・炭火プルコギ,"キムチ茹で豚（김치수육・小）39,000ウォン / イカスンデ（오징어순대）15,000ウォン / 丸ごとタコ（통문어）60,000ウォン～時価 / テンチョニラチヂミ（땡초부추전）15,000ウォン",平日（月～金）16:00～24:00／週末（土・日）16:00～翌02:00,情報なし（定休日は確認できず）,店名は「승하집（スンハチプ）」。注文後に手当て・調理する『おつまみが主役』が信条。ロッテ・ジャイアンツの李承夏（イ・スンハ）選手の母が営む店で野球ファンに人気。臭みのない茹で豚・サクサクのチヂミが好評。,釜山市東萊区社稷北路5番ギル31,부산광역시 동래구 사직북로5번길 31,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%B3%E3%83%8F%E3%83%81%E3%83%97%20%E9%87%9C%E5%B1%B1%E5%B8%82%E6%9D%B1%E8%90%8A%E5%8C%BA%E7%A4%BE%E7%A8%B7%E5%8C%97%E8%B7%AF5%E7%95%AA%E3%82%AE%E3%83%AB31,https://map.naver.com/p/search/%EC%8A%B9%ED%95%98%EC%A7%91
S3,9,日本,ゆるり,,北海道・旭川,クリームチーズの山椒漬けなど,お通し 500円 / 銀鮭塩焼き 500円 / ホルモン唐揚げ 450円 / 日本酒各種 650円～800円,月～土 17:00～23:00（不定休あり）,日曜（不定休あり）,食べログ3.29（41件）。母娘で営むおばんざい居酒屋。『お通しの味付けが絶妙』『家庭的なおばんざい』と評判で、地元客・一人客・二次会に人気。,北海道旭川市3条通6丁目,,https://www.google.com/maps/search/?api=1&query=%E3%82%86%E3%82%8B%E3%82%8A%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%AD%E5%B7%9D%E5%B8%823%E6%9D%A1%E9%80%9A6%E4%B8%81%E7%9B%AE,
S3,10,韓国,ヨンソンバン（永盛飯店）,영성방,釜山・沙下区,カンジャジャン・ウル麺,"カンジャジャン（간짜장）10,000ウォン / 三鮮ウル麺（삼선울면）12,000ウォン / ジャージャー麺（짜장면）8,000ウォン / 酢豚（탕수육・中）25,000ウォン",11:10～21:00（L.O.20:20）,水曜,다이닝코드 3.8（7人）／Netflix『미친맛집』・『生活の達人』560回・ソン・シギョン来店で有名。釜山大前で30年超続いた老舗中華が下端で再開。麺は自家製。味4.1点と高評価。,釜山沙下区下端繁栄路201番ギル36 1階,부산광역시 사하구 하신번영로201번길 36 1층,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%B3%E3%82%BD%E3%83%B3%E3%83%90%E3%83%B3%EF%BC%88%E6%B0%B8%E7%9B%9B%E9%A3%AF%E5%BA%97%EF%BC%89%20%E9%87%9C%E5%B1%B1%E6%B2%99%E4%B8%8B%E5%8C%BA%E4%B8%8B%E7%AB%AF%E7%B9%81%E6%A0%84%E8%B7%AF201%E7%95%AA%E3%82%AE%E3%83%AB36%201%E9%9A%8E,https://map.naver.com/p/search/%EC%98%81%EC%84%B1%EB%B0%A9
S3,11,日本,Wakon Homura（和魂 焔）,,大阪市,焼きテビチなど沖縄料理,焼きテビチ（炭火で焼いたとろとろコラーゲン＋チーズ） / ペペ飯（ペペロンチーノの下にご飯を敷いた〆の名物） / ゴーヤチャンプル / 島のハーブチキン,18:00～翌1:00（L.O.）,日曜・祝日,"食べログ3.56。沖縄料理中心の隠れ家居酒屋で、名物ペペ飯と焼きテビチが人気。予算3,500～4,000円前後でリーズナブルと評判。価格は情報なし（要確認）",大阪府大阪市中央区谷町3-2-14,,https://www.google.com/maps/search/?api=1&query=Wakon%20Homura%EF%BC%88%E5%92%8C%E9%AD%82%20%E7%84%94%EF%BC%89%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA3-2-14,
S3,12,韓国,松灘（ソンタン）チェネチプ 部隊チゲ 本店,송탄최네집부대찌개 본점,京畿道・平沢市,部隊チゲ,部隊チゲ / キムチ料理,毎日 10:00～23:00（L.O.22:00）,無休（年中無休）,식신・다이닝코드で高評価。平沢・松灘の50年伝統の部隊チゲ専門店として有名。駐車場あり,京畿道平沢市京畿大路1401,경기도 평택시 경기대로 1401,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E7%81%98%EF%BC%88%E3%82%BD%E3%83%B3%E3%82%BF%E3%83%B3%EF%BC%89%E3%83%81%E3%82%A7%E3%83%8D%E3%83%81%E3%83%97%20%E9%83%A8%E9%9A%8A%E3%83%81%E3%82%B2%20%E6%9C%AC%E5%BA%97%20%E4%BA%AC%E7%95%BF%E9%81%93%E5%B9%B3%E6%B2%A2%E5%B8%82%E4%BA%AC%E7%95%BF%E5%A4%A7%E8%B7%AF1401,https://map.naver.com/p/search/%EC%86%A1%ED%83%84%EC%B5%9C%EB%84%A4%EC%A7%91%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EB%B3%B8%EC%A0%90
S3,13,韓国,乙支路カルグクス,을지칼국수,ソウル・中区,カルグクス,カルグクス（よもぎ手打ち麺・쑥칼국수） / マンカル（手作り大判餃子入りカルグクス・만칼）,月～金 11:00～21:00／土 11:00～15:00,日曜,カルグクス評価4.4と高評価。手打ちのよもぎ麺と自家製餃子が看板。量が多く価格も手頃。『성시경 먹을텐데』でも紹介。価格は情報なし（要確認）,ソウル中区忠武路54-3,서울특별시 중구 충무로 54-3,https://www.google.com/maps/search/?api=1&query=%E4%B9%99%E6%94%AF%E8%B7%AF%E3%82%AB%E3%83%AB%E3%82%B0%E3%82%AF%E3%82%B9%20%E3%82%BD%E3%82%A6%E3%83%AB%E4%B8%AD%E5%8C%BA%E5%BF%A0%E6%AD%A6%E8%B7%AF54-3,https://map.naver.com/p/search/%EC%9D%84%EC%A7%80%EC%B9%BC%EA%B5%AD%EC%88%98
S4,38,日本,"Parfait, Coffee, Sake, Sato",,北海道・札幌,パフェ,パフェ（シメパフェ／チョコ＆マンゴー、塩キャラメル＆ピスタチオ等） / ケーキセット / コーヒー / 日本酒,平日・日・祝 13:00～24:00（L.O.23:30）／金・土・祝前日 13:00～25:00（L.O.0:30）,不定休,"食べログ3.55（約580件）。札幌・狸小路裏路地の行列店で『シメパフェ』の名店。手作りアイス・ソルベ使用のこだわりパフェが名物。1,000～2,999円",北海道札幌市中央区南4条西5-10-1,,https://www.google.com/maps/search/?api=1&query=Parfait%2C%20Coffee%2C%20Sake%2C%20Sato%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%974%E6%9D%A1%E8%A5%BF5-10-1,
S4,38,韓国,無教洞プゴグッチプ,무교동북어국집,ソウル・中区,プゴヘジャンクッ（干しスケトウダラのスープ）,"プゴヘジャンクッ（干しスケトウダラのスープ）9,500ウォン / 目玉焼き追加 500ウォン",平日 7:00～20:00／週末 7:00～15:00,情報なし（※要確認）,味4.8・価格4.4・親切4.3と高評価。1968年創業の老舗単一メニュー店。ご飯・スープお代わり自由。ブルーリボン13年連続選出、ソウル未来遺産・模範飲食店,ソウル中区乙支路1ギル38,서울특별시 중구 을지로1길 38,https://www.google.com/maps/search/?api=1&query=%E7%84%A1%E6%95%99%E6%B4%9E%E3%83%97%E3%82%B4%E3%82%B0%E3%83%83%E3%83%81%E3%83%97%20%E3%82%BD%E3%82%A6%E3%83%AB%E4%B8%AD%E5%8C%BA%E4%B9%99%E6%94%AF%E8%B7%AF1%E3%82%AE%E3%83%AB38,https://map.naver.com/p/search/%EB%AC%B4%EA%B5%90%EB%8F%99%EB%B6%81%EC%96%B4%EA%B5%AD%EC%A7%91
S4,39,日本,生姜ラーメン みづの,,北海道・旭川,生姜ラーメン,しょうがラーメン 700円 / チャーシューしょうが,11:00～14:00（昼のみ営業）,水曜,食べログ3.61（約525件）。ラーメンHOKKAIDO百名店2025選出。豚骨ベース醤油に高知県産生姜を使った澄んだスープが特徴。予約不可・現金のみ,北海道旭川市常盤通2丁目,,https://www.google.com/maps/search/?api=1&query=%E7%94%9F%E5%A7%9C%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%81%BF%E3%81%A5%E3%81%AE%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%AD%E5%B7%9D%E5%B8%82%E5%B8%B8%E7%9B%A4%E9%80%9A2%E4%B8%81%E7%9B%AE,
S4,40,韓国,統一村 チャンダン豆マウル,통일촌장단콩마을,京畿道・坡州市,長湍豆・豆腐料理,"長湍豆チョングッチャン定食 9,000ウォン / コンビジ定食 9,000ウォン / 海鮮豆腐チョンゴル 30,000～50,000ウォン / 豆腐ポッサム",11:00～17:00,情報なし（※要確認）,다이닝코드で高評価。DMZ民間人統制区域の清浄地域産・坡州特産『長湍豆（チャンダンコン）』を使った各種豆腐料理が名物。豆4種（味噌・チョングッチャン・おから・スンドゥブ）が並ぶ定食が代表,京畿道坡州市軍内面統一村ギル64,경기도 파주시 군내면 통일촌길 64,https://www.google.com/maps/search/?api=1&query=%E7%B5%B1%E4%B8%80%E6%9D%91%20%E3%83%81%E3%83%A3%E3%83%B3%E3%83%80%E3%83%B3%E8%B1%86%E3%83%9E%E3%82%A6%E3%83%AB%20%E4%BA%AC%E7%95%BF%E9%81%93%E5%9D%A1%E5%B7%9E%E5%B8%82%E8%BB%8D%E5%86%85%E9%9D%A2%E7%B5%B1%E4%B8%80%E6%9D%91%E3%82%AE%E3%83%AB64,https://map.naver.com/p/search/%ED%86%B5%EC%9D%BC%EC%B4%8C%EC%9E%A5%EB%8B%A8%EC%BD%A9%EB%A7%88%EC%9D%84
S4,41,日本,北の富士 本店 さくらや,,北海道・旭川,ちゃんこ鍋,ちゃんこ鍋（知床鶏ちゃんこ、毛ガニ味噌ちゃんこ等） / きしめん（ランチ）,11:00～14:30（L.O.14:00）／16:30～21:00（L.O.20:00）※火曜は夜のみ,月曜（祝日の場合は営業、翌日休み）,"食べログ3.39（約110件）。創業以来80年以上こだわり続けた特製スープが看板。ディナー5,000円前後、ランチ2,000円前後。価格は情報なし（要確認）",北海道旭川市1条通3,,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E3%81%AE%E5%AF%8C%E5%A3%AB%20%E6%9C%AC%E5%BA%97%20%E3%81%95%E3%81%8F%E3%82%89%E3%82%84%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%AD%E5%B7%9D%E5%B8%821%E6%9D%A1%E9%80%9A3,
S4,42,韓国,ソリョン（瑞鈴）,서령,ソウル・中区,神仙爐・韓牛プルコギ,"神仙爐（シンソルロ） / ソリョン雪花プルコギ（韓牛・150g）39,000ウォン / ソリョン純麺（平壌冷麺）17,000ウォン / ハンジョン製肉（200g）37,000ウォン",11:00～21:30（L.O.20:30）,無休（ブレイクタイムなし）,다이닝코드4.6（97点）。ミシュランガイド2025ビブグルマン選出、『성시경 먹을텐데』紹介店。韓牛雌牛の深い出汁と自家製粉の純そば麺（平壌冷麺）が看板。神仙爐・韓牛プルコギも提供,ソウル中区南大門路5街120,서울특별시 중구 소월로 10 단암빌딩 1층,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%AA%E3%83%A7%E3%83%B3%EF%BC%88%E7%91%9E%E9%88%B4%EF%BC%89%20%E3%82%BD%E3%82%A6%E3%83%AB%E4%B8%AD%E5%8C%BA%E5%8D%97%E5%A4%A7%E9%96%80%E8%B7%AF5%E8%A1%97120,https://map.naver.com/p/search/%EC%84%9C%EB%A0%B9
